id,name,source,prescription_required,retail_price,discounted_price,manufacturer,quantity,packaging_form,salts,salts_encoded,packaging_encoded,manufacturer_encoded,quantity_numeric,retail_price_scaled,discounted_price_scaled,text_representation,cluster_id,pca_x,pca_y
source_6-75716,dolo 1gm tablet,source_6,False,45.58,40.11,micro labs,10 Tablet(s) in Strip,STRIP,paracetamol / acetaminophen(1.0 g),565,38,176,10.0,-0.12764812204601494,-0.14150397169615717,dolo 1gm tablet paracetamol / acetaminophen(1.0 g) STRIP,4,-0.22702943,-0.09065397
source_2-39579,dolo 1000mg infusion,source_2,True,268.0,219.76,micro labs ltd,1000,bottle,paracetamol/acetaminophen 1000mg,595,55,177,1000.0,0.163051532039959,0.1981249798307538,dolo 1000mg infusion paracetamol/acetaminophen 1000mg bottle,0,0.027373614,-0.36533856
source_7-90343,dolo 1000mg tablet,source_7,False,45.58,35.1,micro labs ltd,10.0 tablets in 1 strip,strip,paracetamol (1000mg),550,57,177,10.0,-0.12764812204601494,-0.15097539416846342,dolo 1000mg tablet paracetamol (1000mg) strip,4,-0.22834839,-0.073459424
source_1-65076,dolo 1000 mg tablet 10s,source_1,True,45.5,40.0,micro labs ltd,10,Strip | Tablet,paracetamol-1000mg,583,42,177,10.0,-0.12775268086413774,-0.14171192707978064,dolo 1000 mg tablet 10s paracetamol-1000mg Strip | Tablet,4,-0.25296414,-0.07019672
source_1-65077,dolo 120 mg suspension 60 ml,source_1,False,40.0,35.2,micro labs ltd,60,Bottle | Suspension,paracetamol-120mg,585,23,177,60.0,-0.13494109961008172,-0.1507863438197148,dolo 120 mg suspension 60 ml paracetamol-120mg Bottle | Suspension,0,0.12732074,-0.4862904
source_6-75717,dolo 120mg suspension 60ml,source_6,False,40.32,34.27,micro labs,60ml Suspension in Bottle,BOTTLE,paracetamol / acetaminophen(120.0 mg/5ml),568,2,176,60.0,-0.13452286433759045,-0.15254451206307706,dolo 120mg suspension 60ml paracetamol / acetaminophen(120.0 mg/5ml) BOTTLE,0,0.021158973,-0.47068888
source_2-39580,dolo 120 suspension,source_2,True,34.94,28.65,micro labs ltd,120,bottle,paracetamol/acetaminophen 120mg/5ml,597,55,177,120.0,-0.14155444485635016,-0.16316914166274998,dolo 120 suspension paracetamol/acetaminophen 120mg/5ml bottle,0,0.023075277,-0.48851725
source_3-2151,dolo 156mg syp 60ml,source_3,False,51.0,43.35,micro labs ltd,60,Bottle SYRUP,paracetamol/acetaminophen 156.25 mg /5ml,601,6,177,60.0,-0.1205642621181938,-0.13537874039670159,dolo 156mg syp 60ml paracetamol/acetaminophen 156.25 mg /5ml Bottle SYRUP,0,-0.04545932,-0.43748626
source_7-90345,dolo 15625mg suspension,source_7,False,56.0,49.6,micro labs ltd,60.0 ml in 1 bottle,bottle,paracetamol (156.25mg/5ml),556,55,177,60.0,-0.11402933598551745,-0.1235630935999123,dolo 15625mg suspension paracetamol (156.25mg/5ml) bottle,0,0.081008084,-0.52453524
source_1-65079,dolo 15625 mg syrup 60 ml,source_1,False,56.0,49.3,micro labs ltd,60,Bottle | Syrup,paracetamol-156.25mg,588,24,177,60.0,-0.11402933598551745,-0.12413024464615821,dolo 15625 mg syrup 60 ml paracetamol-156.25mg Bottle | Syrup,0,0.021755079,-0.4682042
source_6-75718,dolo 250mg suspension 60ml,source_6,False,45.02,39.62,micro labs,60ml Suspension in Bottle,BOTTLE,paracetamol / acetaminophen(250.0 mg),574,2,176,60.0,-0.12838003377287466,-0.14243031840502546,dolo 250mg suspension 60ml paracetamol / acetaminophen(250.0 mg) BOTTLE,0,0.011957788,-0.47552243
source_3-2152,dolo 250mg syp 60ml,source_3,False,45.02,38.27,micro labs ltd,60,Bottle SYRUP,paracetamol/acetaminophen 250 mg /5ml,602,6,177,60.0,-0.12838003377287466,-0.14498249811313194,dolo 250mg syp 60ml paracetamol/acetaminophen 250 mg /5ml Bottle SYRUP,0,-0.06628197,-0.43818113
source_7-90346,dolo 250 oral suspension,source_7,False,45.02,34.2,micro labs ltd,60.0 ml in 1 bottle,bottle,paracetamol (250mg/5ml),557,55,177,60.0,-0.12838003377287466,-0.15267684730720107,dolo 250 oral suspension paracetamol (250mg/5ml) bottle,0,0.104898475,-0.47846153
source_1-65080,dolo 250 suspension 100 ml,source_1,False,75.0,66.0,micro labs ltd,100,Bottle | Suspension,paracetamol-250mg,589,23,177,100.0,-0.0891966166813474,-0.09255883640513725,dolo 250 suspension 100 ml paracetamol-250mg Bottle | Suspension,0,0.20286112,-0.4728156
