name,salts,packaging_form,quantity,retail_price,cluster_id
dolo 1gm tablet,paracetamol / acetaminophen(1.0 g),STRIP,10 Tablet(s) in Strip,45.58,4
dolo 1000mg infusion,paracetamol/acetaminophen 1000mg,bottle,1000,268.0,0
dolo 1000mg tablet,paracetamol (1000mg),strip,10.0 tablets in 1 strip,45.58,4
dolo 1000 mg tablet 10s,paracetamol-1000mg,Strip | Tablet,10,45.5,4
dolo 120 mg suspension 60 ml,paracetamol-120mg,Bottle | Suspension,60,40.0,0
dolo 120mg suspension 60ml,paracetamol / acetaminophen(120.0 mg/5ml),BOTTLE,60ml Suspension in Bottle,40.32,0
dolo 120 suspension,paracetamol/acetaminophen 120mg/5ml,bottle,120,34.94,0
dolo 156mg syp 60ml,paracetamol/acetaminophen 156.25 mg /5ml,Bottle SYRUP,60,51.0,0
dolo 15625mg suspension,paracetamol (156.25mg/5ml),bottle,60.0 ml in 1 bottle,56.0,0
dolo 15625 mg syrup 60 ml,paracetamol-156.25mg,Bottle | Syrup,60,56.0,0
dolo 250mg suspension 60ml,paracetamol / acetaminophen(250.0 mg),BOTTLE,60ml Suspension in Bottle,45.02,0
dolo 250mg syp 60ml,paracetamol/acetaminophen 250 mg /5ml,Bottle SYRUP,60,45.02,0
dolo 250 oral suspension,paracetamol (250mg/5ml),bottle,60.0 ml in 1 bottle,45.02,0
dolo 250 suspension 100 ml,paracetamol-250mg,Bottle | Suspension,100,75.0,0
dolo 250 suspension 60 ml,paracetamol-250mg,Bottle | Suspension,60,45.0,0
dolo 500mg strip of 10 tablets,paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,13.58,4
dolo 500mg strip of 15 tablets,paracetamol / acetaminophen(500.0 mg),STRIP,15 Tablet(s) in Strip,14.95,4
dolo 500mg tab 1x15,paracetamol/acetaminophen 500 mg,Strip TABLET,15,14.95,4
dolo 500 tablet,paracetamol 500mg,strip,500,14.95,4
dolo 500 tablet 10s,paracetamol-500mg,Strip | Tablet,10,10.0,4
dolo500 tablet 15s,paracetamol-500mg,Strip | Tablet,15,14.5,4
dolo 650mg strip of 10 tablets,paracetamol / acetaminophen(650.0 mg),STRIP,10 Tablet(s) in Strip,22.61,4
